station_id,hora,dia_semana,historico_estacion_hora_dia
9,9,5,0.09090909091
9,10,5,0.0
9,11,5,0.09090909091
9,12,5,0.1363636364
9,13,5,0.1363636364
9,14,5,0.04545454545
9,15,5,0.0
9,16,5,0.0
9,17,5,0.0
9,18,5,0.2272727273
9,19,5,0.2272727273
9,20,5,0.2272727273
9,21,5,0.2272727273
9,22,5,0.1818181818
9,23,5,0.2272727273
10,21,6,0.0
10,0,0,0.0
10,0,1,0.3333333333
10,8,1,0.3333333333
10,0,2,0.2105263158
10,0,3,0.0
12,0,4,0.0
12,0,6,0.07407407407
12,6,6,0.07407407407
12,7,6,0.07407407407
12,8,6,0.07407407407
12,9,6,0.1111111111
12,10,6,0.055555555555
12,11,6,0.0
12,12,6,0.0
12,13,6,0.0
12,14,6,0.0
12,15,6,0.0
12,16,6,0.0
12,17,6,0.0
12,18,6,0.1111111111
12,19,6,0.2222222222
12,20,6,0.14814814815
12,22,6,0.07407407407
12,23,6,0.07407407407
12,5,0,0.2592592593
12,6,0,0.2592592593
12,7,0,0.2592592593
12,9,0,0.37037037035
12,10,0,0.3703703704
12,11,0,0.33333333335
12,12,0,0.2592592593
12,13,0,0.22222222225
12,14,0,0.07407407407
12,15,0,0.01851851852
12,16,0,0.0
12,17,0,0.0
12,18,0,0.0
12,19,0,0.055555555555
12,20,0,0.037037037035
12,21,0,0.0
12,22,0,0.0
12,23,0,0.0
12,5,1,0.2592592593
12,6,1,0.2592592593
12,7,1,0.2592592593
12,9,1,0.2592592593
12,10,1,0.1111111111
12,11,1,0.1111111111
12,12,1,0.07407407407
12,13,1,0.03703703704
12,14,1,0.07407407407
12,15,1,0.07407407407
12,16,1,0.01851851852
12,17,1,0.0
12,18,1,0.0
12,19,1,0.0
12,20,1,0.0
12,21,1,0.1481481481
12,22,1,0.092592592585
12,23,1,0.07407407407
12,5,2,0.07407407407
12,6,2,0.07407407407
12,7,2,0.092592592585
12,8,2,0.07407407407
12,9,2,0.01851851852
12,10,2,0.2222222222
12,11,2,0.2307692308
12,12,2,0.09615384616
12,13,2,0.03846153846
12,14,2,0.32692307695
12,15,2,0.3846153846
12,16,2,0.28846153845
12,17,2,0.0576923077
12,18,2,0.05769230769
12,19,2,0.17307692305
12,20,2,0.0
12,21,2,0.01923076923
12,22,2,0.0
12,23,2,0.05769230769
12,5,3,0.07692307692
12,6,3,0.07692307692
12,7,3,0.38461538465
12,8,3,0.0
12,9,3,0.03774928775
12,10,3,0.055555555555
12,11,3,0.03703703704
12,12,3,0.055555555555
15,5,6,0.5217391304
16,13,3,0.05
17,6,6,0.5714285714
17,7,6,0.619047619
17,8,6,0.619047619
17,10,6,0.4285714286
17,12,6,0.3157894737
17,13,6,0.2941176471
17,14,6,0.4705882353
17,15,6,0.4705882353
17,16,6,0.5294117647
17,17,6,0.5882352941
17,18,6,0.5882352941
17,19,6,0.5882352941
17,20,6,0.5294117647
17,22,6,1.0
17,23,6,1.0
17,5,0,1.0
17,6,0,0.8823529412
17,7,0,0.8235294118
17,9,0,0.5294117647
17,10,0,0.2352941176
17,11,0,0.1176470588
17,12,0,0.2727272727
17,13,0,0.1666666667
17,14,0,0.1176470588
17,15,0,0.0
17,16,0,0.0
17,17,0,0.05882352941
17,18,0,0.2352941176
17,19,0,0.2352941176
17,20,0,0.2352941176
17,21,0,0.2941176471
17,22,0,0.4705882353
17,23,0,0.4705882353
17,5,1,0.4705882353
17,6,1,0.4705882353
17,7,1,0.4705882353
17,9,1,0.4705882353
17,10,1,0.5882352941
17,11,1,0.3529411765
17,12,1,0.4117647059
17,13,1,0.4117647059
17,14,1,0.4117647059
17,15,1,0.1764705882
17,16,1,0.1764705882
17,17,1,0.2352941176
17,18,1,0.1764705882
17,19,1,0.1764705882
17,20,1,0.2941176471
17,21,1,0.2352941176
17,22,1,0.1764705882
17,23,1,0.1176470588
17,5,2,0.8823529412
17,6,2,0.7058823529
17,7,2,1.0
17,8,2,0.8235294118
17,9,2,0.5294117647
17,10,2,0.4117647059
17,11,2,0.2352941176
17,12,2,0.2727272727
17,13,2,0.05555555556
17,14,2,0.1666666667
17,15,2,0.1666666667
17,16,2,0.2777777778
17,17,2,0.1111111111
17,18,2,0.1111111111
17,19,2,0.05555555556
17,20,2,0.1111111111
17,21,2,0.05555555556
17,22,2,0.0
17,23,2,0.0
17,5,3,0.6111111111
17,6,3,0.5555555556
17,7,3,0.8888888889
17,8,3,0.8333333333
17,9,3,0.3333333333
17,10,3,0.4347826087
17,11,3,0.347826087
17,12,3,0.1052631579
17,0,4,0.0
17,0,6,0.9047619048
17,5,6,0.9047619048
18,8,0,0.06060606061
18,14,3,0.02941176471
18,15,3,0.1764705882
18,16,3,0.1470588235
18,17,3,0.05882352941
18,18,3,0.08823529412
18,19,3,0.06060606061
18,20,3,0.0
18,21,3,0.0
18,22,3,0.0303030303
18,23,3,0.0
18,5,4,0.2121212121
18,6,4,0.2121212121
18,7,4,0.3333333333
18,8,4,0.0
18,9,4,0.0303030303
18,10,4,0.0
18,11,4,0.0
18,12,4,0.06060606061
18,13,4,0.0
18,14,4,0.02941176471
18,15,4,0.1176470588
18,16,4,0.0
18,17,4,0.05882352941
18,18,4,0.0
18,19,4,0.06060606061
18,20,4,0.0303030303
18,21,4,0.0
18,22,4,0.0
18,23,4,0.03125
18,0,5,0.0
18,5,5,0.28125
18,6,5,0.25
18,7,5,0.1875
18,8,5,0.0303030303
18,9,5,0.02941176471
18,10,5,0.05882352941
18,11,5,0.0
18,12,5,0.1764705882
18,13,5,0.1176470588
18,14,5,0.08823529412
18,15,5,0.1176470588
18,16,5,0.08823529412
18,17,5,0.2058823529
18,18,5,0.1470588235
18,19,5,0.02857142857
18,20,5,0.1428571429
18,21,5,0.1428571429
18,22,5,0.0
18,23,5,0.0
19,0,4,0.36111111110000005
19,0,6,0.078947368425
19,6,6,0.23684210525
19,7,6,0.23684210525
19,8,6,0.105263157875
19,10,6,0.026315789475
19,12,6,0.026315789475
19,13,6,0.1052631579
19,14,6,0.23684210525
19,15,6,0.15789473685
19,16,6,0.15789473685
19,17,6,0.31578947365
19,18,6,0.3157894737
19,19,6,0.3157894737
19,20,6,0.28947368419999997
19,21,6,0.3157894737
